"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code","direction","position"
"AA010","8767","SUSSEX / RIDEAU FALLS",NULL,"45.439879000","-75.695844000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA020","6859","SUSSEX / RIDEAU FALLS",NULL,"45.439581000","-75.695695000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA030","7001","SUSSEX / ALEXANDER",NULL,"45.442868000","-75.693564000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA035","8762","ALEXANDER / THOMAS",NULL,"45.442806000","-75.692325000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA040","7000","JOHN / SUSSEX",NULL,"45.442562000","-75.693505000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA050","7002","ALEXANDER / CHARLES",NULL,"45.442539000","-75.691511000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA060","8766","CRICHTON / CHARLES",NULL,"45.442231000","-75.691221000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA070","7003","CRICHTON / UNION",NULL,"45.441682000","-75.689964000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA080","7005","CRICHTON / UNION",NULL,"45.441715000","-75.689529000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA090","7004","CRICHTON / VICTORIA",NULL,"45.441148000","-75.688271000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA100","7006","CRICHTON / VICTORIA",NULL,"45.441173000","-75.687939000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA110","7007","CRICHTON / KEEFER",NULL,"45.440741000","-75.686615000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA120","8763","CRICHTON / KEEFER",NULL,"45.440399000","-75.685756000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA130","7008","CRICHTON / DUFFERIN",NULL,"45.439590000","-75.682989000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA140","8765","CRICHTON / THE MEWS",NULL,"45.439650000","-75.682643000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA150","7010","CRICHTON / ELECTRIC",NULL,"45.439091000","-75.679954000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA160","7009","CRICHTON / ELECTRIC",NULL,"45.438893000","-75.679880000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA170","8764","CRICHTON / BEECHWOOD",NULL,"45.438612000","-75.678427000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA180","7011","CRICHTON / BEECHWOOD",NULL,"45.438766000","-75.678514000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA210","8922","BEECHWOOD / MACKAY",NULL,"45.439490000","-75.676929000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA221","8794","BEECHWOOD / LOYER",NULL,"45.440049000","-75.675699000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA231","8795","BEECHWOOD / ST CHARLES",NULL,"45.441164000","-75.673624000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA240","8790","BEECHWOOD / ST CHARLES",NULL,"45.441154000","-75.674057000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA251","1649","BEECHWOOD / MARIER",NULL,"45.442197000","-75.671357000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA260","7015","BEECHWOOD / ACACIA",NULL,"45.442329000","-75.671433000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA270","7013","BEECHWOOD / JOLLIET",NULL,"45.444136000","-75.670294000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA280","8797","BEECHWOOD / CORONA",NULL,"45.444071000","-75.670537000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA300","7016","BEECHWOOD / JULIANA",NULL,"45.445864000","-75.669501000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA310","8796","BEECHWOOD / JULIANA",NULL,"45.445897000","-75.669181000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA320","7017","HEMLOCK / LANSDOWNE",NULL,"45.447638000","-75.668453000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA325","7018","HEMLOCK / WHITEMARL",NULL,"45.448842000","-75.665801000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA330","7019","HEMLOCK / LANSDOWNE",NULL,"45.447599000","-75.668082000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA335","7020","HEMLOCK / WHITEMARL",NULL,"45.448774000","-75.665035000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA340","8788","SPRINGFIELD / BEECHWOOD",NULL,"45.440053000","-75.676328000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA350","7021","SPRINGFIELD / PUTMAN",NULL,"45.442010000","-75.676826000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA360","7022","SPRINGFIELD / RIDEAU",NULL,"45.443679000","-75.677190000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA370","7023","SPRINGFIELD / LINDENLEA",NULL,"45.444913000","-75.677441000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA380","8789","MAPLE LANE / SPRINGFIELD",NULL,"45.446327000","-75.677599000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA390","7024","MAPLE LANE / ELMDALE",NULL,"45.446550000","-75.674886000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA400","7025","MAPLE LANE / ACACIA",NULL,"45.446709000","-75.673132000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AA410","7026","ACACIA / RIDEAU",NULL,"45.444571000","-75.672435000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB050","2309","LOYER / BARRETE",NULL,"45.439698000","-75.675071000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB055","1697","BARETTE / ST-CHARLES",NULL,"45.440390000","-75.673444000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB060","1650","MARIER / BEECHWOOD",NULL,"45.441973000","-75.671501000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB065","7263","MARIER / BARRETTE",NULL,"45.441915000","-75.670965000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB070","7029","MARIER / GENEST",NULL,"45.441176000","-75.669043000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB075","7264","MARIER / GENEST",NULL,"45.441055000","-75.669086000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB080","7027","MARIER / LONGPRE",NULL,"45.439536000","-75.664436000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB085","7028","MARIER / LONGPRE",NULL,"45.439419000","-75.664644000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB100","8752","DES PÈRES BLANCS / MARIER",NULL,"45.440050000","-75.665714000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB110","8995","DES PÈRES BLANCS / MARIER",NULL,"45.440173000","-75.665367000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB120","7034","DES PÈRES BLANCS / MARQUETTE",NULL,"45.440860000","-75.664577000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB130","7035","DES PÈRES BLANCS / LONGPRÉ",NULL,"45.440788000","-75.664527000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB185","0839","DES PÈRES BLANCS / LEBRUN",NULL,"45.442712000","-75.661801000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB195","1890","DES PÈRES BLANCS / LEBRUN",NULL,"45.442358000","-75.662512000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB200","7040","300 DES PÈRES BLANCS",NULL,"45.444348000","-75.660157000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB290","1545","GRANVILLE / MONTRÉAL",NULL,"45.438199000","-75.656244000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB300","8749","ALFRED / MONTRÉAL",NULL,"45.438861000","-75.654585000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB310","7046","MONTFORT / ALFRED",NULL,"45.439448000","-75.656059000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB320","1544","MONTFORT / GRANVILLE",NULL,"45.439120000","-75.656690000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB330","8745","MONTFORT / STE ANNE",NULL,"45.439118000","-75.658914000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB340","8747","MONTFORT / STE ANNE",NULL,"45.438940000","-75.659224000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB350","7049","MONTFORT / BRADLEY",NULL,"45.438845000","-75.660976000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB360","7047","MONTFORT / PARK",NULL,"45.438911000","-75.661397000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB370","7048","MONTFORT / MARIER",NULL,"45.438806000","-75.663009000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB380","7050","MARIER / MONTFORT",NULL,"45.438869000","-75.663529000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB385","7110","MARIER / MONFORT",NULL,"45.438907000","-75.663216000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB390","7111","MARIER / DESCHAMPS",NULL,"45.436792000","-75.661967000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB395","7112","MARIER / DESCHAMPS",NULL,"45.436925000","-75.661617000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB450","8944","VANIER / PATHWAY",NULL,"45.437735000","-75.674030000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB455","1398","VANIER / PATHWAY",NULL,"45.437481000","-75.673855000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB456","6579","VANIER / MEILLEUR",NULL,"45.437316000","-75.671523000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB458","6580","VANIER / MEILLEUR",NULL,"45.437155000","-75.671594000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB460","7051","VANIER / DESCHAMPS",NULL,"45.436563000","-75.669052000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB470","8775","VANIER / DESCHAMPS",NULL,"45.436553000","-75.669601000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB480","7052","VANIER / MONTRÉAL",NULL,"45.435088000","-75.666426000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB490","8781","MONTRÉAL / NORTH RIVER",NULL,"45.433016000","-75.669830000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB500","1575","MONTRÉAL / MONTGOMERY",NULL,"45.433232000","-75.668664000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB510","8783","MONTRÉAL / VANIER",NULL,"45.434234000","-75.666548000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB520","7053","MONTRÉAL / VANIER",NULL,"45.434222000","-75.666157000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB530","8947","MONTRÉAL / EMOND",NULL,"45.435224000","-75.664149000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB540","7054","MONTRÉAL / CYR",NULL,"45.435052000","-75.663972000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB550","8784","MONTRÉAL / OLMSTEAD",NULL,"45.435913000","-75.662400000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB560","8758","MONTRÉAL / OLMSTEAD",NULL,"45.435600000","-75.662584000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB570","7055","MONTRÉAL / MARIER",NULL,"45.436514000","-75.660845000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB580","7057","MONTRÉAL / BEGIN",NULL,"45.436315000","-75.660733000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB600","7058","MONTRÉAL / LACASSE",NULL,"45.437259000","-75.658213000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB611","1279","MONTRÉAL / BRADLEY",NULL,"45.437323000","-75.658618000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB620","7059","MONTRÉAL / LAFONTAINE",NULL,"45.437828000","-75.656675000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB630","1543","MONTRÉAL / GRANVILLE",NULL,"45.438277000","-75.655859000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB640","0929","MONTRÉAL / DUCHARME",NULL,"45.438879000","-75.653247000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB650","8741","MONTRÉAL / CANTIN",NULL,"45.439050000","-75.653278000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB660","8740","MONTRÉAL / DE L'ÉGLISE",NULL,"45.439592000","-75.651264000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB670","8739","MONTRÉAL / DE L'EGLISE",NULL,"45.439675000","-75.651403000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB680","7060","MONTRÉAL / NOTRE DAME CEMETERY",NULL,"45.440199000","-75.649273000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB690","0927","MONTRÉAL / NOTRE DAME CEMETERY",NULL,"45.440310000","-75.649681000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AB700","0953","MONTRÉAL / ST LAURENT",NULL,"45.440911000","-75.647102000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC010","8723","MCARTHUR / VANIER",NULL,"45.431265000","-75.662942000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC020","8773","MCARTHUR / VANIER",NULL,"45.431059000","-75.663111000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC030","7061","MCARTHUR / OLMSTEAD",NULL,"45.431239000","-75.660642000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC035","8774","MCARTHUR / OLMSTEAD",NULL,"45.431442000","-75.660025000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC050","8932","MCARTHUR / ALLEN",NULL,"45.431532000","-75.656911000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC060","7063","MCARTHUR / LACASSE",NULL,"45.431715000","-75.656788000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC080","8615","MCARTHUR / LAFONTAINE",NULL,"45.431809000","-75.654920000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC090","7064","MCARTHUR / LAFONTAINE",NULL,"45.431678000","-75.654271000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC100","7065","MCARTHUR / EASTWOOD",NULL,"45.431966000","-75.653039000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC110","8600","MCARTHUR / IRWIN MILLER",NULL,"45.431817000","-75.652428000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC120","7066","MCARTHUR / BRANT",NULL,"45.432097000","-75.650060000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC130","7067","MCARTHUR / BRANT",NULL,"45.431985000","-75.650107000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC140","8605","MCARTHUR / DE L'ÉGLISE",NULL,"45.432265000","-75.647866000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC150","8662","MCARTHUR / MOORVALE",NULL,"45.432145000","-75.647876000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC180","7069","MCARTHUR / ST LAURENT",NULL,"45.432612000","-75.643189000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC190","7070","MCARTHUR / MAY",NULL,"45.432343000","-75.644816000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC200","8282","OLMSTEAD / JEANNE-MANCE",NULL,"45.433013000","-75.660534000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC205","8283","OLMSTEAD / HERITAGE MAPLE",NULL,"45.432828000","-75.660942000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC210","8284","OLMSTEAD / MONTRÉAL",NULL,"45.435663000","-75.662178000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AC215","8285","OLMSTEAD / MONTRÉAL",NULL,"45.435554000","-75.662459000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD010","7080","VANIER / COVENTRY",NULL,"45.420935000","-75.658073000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD020","7081","VANIER / COVENTRY",NULL,"45.421816000","-75.659146000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD030","8175","VANIER / PRESLAND",NULL,"45.422590000","-75.661348000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD040","8174","VANIER / PRESLAND",NULL,"45.422810000","-75.661190000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD050","7082","VANIER / QUEEN MARY",NULL,"45.424367000","-75.662375000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD060","7084","VANIER / QUEEN MARY",NULL,"45.424239000","-75.662023000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD070","7083","VANIER / DONALD",NULL,"45.426946000","-75.662967000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD080","8517","VANIER / DONALD",NULL,"45.427700000","-75.662713000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD085","5700","VANIER / MCARTHUR",NULL,"45.430454000","-75.664027000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD090","8770","VANIER / MCARTHUR",NULL,"45.431696000","-75.664009000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD100","8945","VANIER / MCARTHUR",NULL,"45.431716000","-75.664354000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD110","7085","VANIER / MONTRÉAL",NULL,"45.433994000","-75.665752000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD135","1995","MCARTHUR / NORTH RIVER",NULL,"45.430708000","-75.667998000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD140","8777","MCARTHUR / MAYFIELD",NULL,"45.431087000","-75.665705000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD145","7086","MCARTHUR / MAYFIELD",NULL,"45.430871000","-75.665683000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD200","8780","NORTH RIVER / MONTRÉAL",NULL,"45.432450000","-75.669979000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD210","8786","NORTH RIVER / SELKIRK",NULL,"45.432006000","-75.669474000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD220","7087","NORTH RIVER / AD. 333",NULL,"45.431285000","-75.669434000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD230","7088","NORTH RIVER / MCARTHUR",NULL,"45.431229000","-75.669090000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD260","8772","NORTH RIVER / WASHINGTON",NULL,"45.429470000","-75.668489000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD265","8768","NORTH RIVER / WASHINGTON",NULL,"45.429297000","-75.668198000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD270","7090","NORTH RIVER / ONTARIO",NULL,"45.427960000","-75.667553000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD280","7089","NORTH RIVER / ONTARIO",NULL,"45.427899000","-75.667746000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD300","1897","NORTH RIVER / COLUMBUS",NULL,"45.426291000","-75.666951000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD310","8581","NORTH RIVER / COLUMBUS",NULL,"45.426154000","-75.666711000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD320","7092","QUEEN MARY / NORTH RIVER",NULL,"45.424293000","-75.665639000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD330","7328","QUEEN MARY / NORTH RIVER",NULL,"45.424165000","-75.665347000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD340","7091","QUEEN MARY / MARION",NULL,"45.424264000","-75.664195000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD350","7093","QUEEN MARY / MARION",NULL,"45.424451000","-75.663899000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD360","8580","QUEEN MARY / VANIER",NULL,"45.424554000","-75.661968000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD370","8576","QUEEN MARY / VANIER",NULL,"45.424444000","-75.661714000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD380","7097","QUEEN MARY / VERA",NULL,"45.424533000","-75.660319000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD390","7094","QUEEN MARY / VERA",NULL,"45.424719000","-75.659895000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD391","9880","QUEEN MARY / QUILL",NULL,"45.424712000","-75.657210000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD392","9881","QUEEN MARY / QUILL",NULL,"45.424954000","-75.657213000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD393","9882","QUEEN MARY / LOLA",NULL,"45.425010000","-75.652774000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD394","9883","QUEEN MARY / LOLA",NULL,"45.425287000","-75.652844000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD395","9884","QUEEN MARY / BERNARD",NULL,"45.425754000","-75.641786000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD400","7095","QUILL / QUEEN MARY",NULL,"45.424917000","-75.657490000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD410","7098","QUILL / QUEEN MARY",NULL,"45.425195000","-75.657345000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD420","7096","QUILL / GLYNN",NULL,"45.425836000","-75.657646000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD430","7099","QUILL / COLUMBUS",NULL,"45.426673000","-75.657619000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD440","8577","DONALD / QUILL",NULL,"45.427616000","-75.657386000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD450","8579","DONALD / QUILL",NULL,"45.427776000","-75.657166000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD460","7100","DONALD / EDITH",NULL,"45.427754000","-75.655428000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD470","7103","DONALD / EVE",NULL,"45.427958000","-75.654927000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD508","3578","DONALD / TELFORD",NULL,"45.428528000","-75.646931000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD645","7404","LOLA / DONALD",NULL,"45.427672000","-75.652822000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD646","1517","LOLA / DONALD",NULL,"45.427734000","-75.652630000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD655","7267","LOLA / KING GEORGE",NULL,"45.425510000","-75.652510000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD660","7114","LOLA / QUEEN MARY",NULL,"45.425387000","-75.652292000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD670","7113","LOLA / PRESLAND",NULL,"45.423336000","-75.651737000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD680","7115","LOLA / PRESLAND",NULL,"45.423388000","-75.651570000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD690","8589","LOLA / COVENTRY",NULL,"45.421998000","-75.650965000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD700","7116","LOLA / COVENTRY",NULL,"45.421996000","-75.650697000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD720","7118","360 COVENTRY",NULL,"45.421432000","-75.647894000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD730","7117","COVENTRY / BELFAST",NULL,"45.421528000","-75.648276000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD740","1977","COVENTRY / ST-LAURENT MALL",NULL,"45.422995000","-75.642253000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD750","1978","COVENTRY / ST-LAURENT MALL",NULL,"45.422987000","-75.642463000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD780","5867","BELFAST / COVENTRY",NULL,"45.420955000","-75.647403000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD790","8586","BELFAST / COVENTRY",NULL,"45.421052000","-75.647235000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD800","4402","FRANCES / QUEEN MARY",NULL,"45.425715000","-75.647381000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD805","4403","FRANCES / KING GEORGE",NULL,"45.426387000","-75.647486000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AD810","4405","FRANCES / DONALD",NULL,"45.428243000","-75.647896000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE010","1371","TREMBLAY / VIA RAIL ( B )",NULL,"45.418402000","-75.652311000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE015","3024","VIA-RAIL",NULL,"45.416745000","-75.652214000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE020","1369","TREMBLAY / VIA RAIL ( A )",NULL,"45.418325000","-75.651649000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE040","1836","TREMBLAY / BELFAST",NULL,"45.418719000","-75.646827000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE050","1837","TREMBLAY / AVENUE K",NULL,"45.418478000","-75.648924000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE060","1849","TREMBLAY / AVENUE P",NULL,"45.418748000","-75.644408000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE080","7124","TREMBLAY / AVENUE R",NULL,"45.419044000","-75.642180000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE090","7126","TREMBLAY / AVENUE R",NULL,"45.418885000","-75.642540000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE120","1574","TREMBLAY / AVENUE U",NULL,"45.419246000","-75.639110000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"AE130","7127","TREMBLAY / AVENUE U",NULL,"45.419138000","-75.639125000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
